fundID,net
AEJEPSMH,13.8135
AEJEPSMI,1116.2498
AEJEPSMIH,7.9349
AEK,8.362
AEL,8.338
AELATAM,3073.4532
AEMAF,26.135
AEMAG,22.8546
AEMBA,17.3199
AEMBA6HD,9.5704
AEMBAD,9.4678
AEMBY,230.6167
AEMKF,11.5496
AEMKG,9.5454
AEMLA,12.5592
AEMLA6HD,7.9727
AEMLA9HD,112.3647
AEMLAD,7.7368
AEMLY,118.4597
AERESPW,10.029
AESCA1,25.3541
AESCY,877.2316
AESCY1,783.6666
AESHCYB,10.038
AESHCYBA2,12.6062
AESHYB,17.5686
AESHYBA2,41.0408
AESHYBI,17.7698
AESHYBI2,17.1612
AETEC,4.5181
AEUFA,18.4437
AEUFY,270.1255
AEUK,21.1819
AEWE,16.571
AEWRES,10.0772
AF10X,13.2434
AF15X,12.8703
AF21X,9.3522
AF22X,13.1958
AF24X,17.5374
AF25X,12.3015
AF26X,12.0705
AF27X,10.7408
AF38X,12.6283
AF39X,10.5702
AF46X,19.73
AF48X,10.818
AF96X,8.0077
AGAVF,160.4586
AGAVG,141.3322
AGBDA,21.563
AGBDY,282.7355
AGCCF,14.1668
AGEAF,147.6837
AGEAG,132.7222
AGEMA,14.5682
AGEMF,14.5873
AGEMG,13.2144
AGEMY,310.4545
AGENF,15.4928
AGENG,13.6754
AGEQA,20.3052
AGEQY,153.7808
AGEYF,139.117
AGEYG,123.6218
AGIF-FL3,183.45
AGIF-FLI,2031.84
AGIF-FLU,12.01
AGIF-FQ3,237.76
AGIF-FQ5,940.8
AGIF-FQGM,8.72
AGIF-FQI,2534.9
AGIF-FQM,10.34
AGIF-FQR,10.43
AGIF-FR1,5.33
AGIF-FR3,82.81
AGIF-FRGM,10.3
AGIF-FS2,23.1
AGIF-FS4,21.27
AGIF-FV1,13.65
AGIF-FV5,1137.61
AGIF-FVM,8.83
AGIF-FVN,8.59
AGIF-FVP,8.92
AGIF-FVR,8.5
AGIF-FVZ,130.76
AGIF-FWI,2308.85
AGIF-FX1,11.08
AGIF-FX5,1114.05
AGIF-FXGM,10.09
AGIF-FXM,8.83
AGIF-FXP,8.84
AGIF-HTG,16.29
AGIF-JAP,18.43
AGIF-JPI,20.81
AGIF-JPU,9.68
AGIF-NB3,151.92
AGIF-NB6,1145.95
AGIF-NBI,975.04
AGIF-NE3,133.17
AGIF-NE5,917.9
AGIF-NEI,1370.64
AGIF-NEU,9.37
AGIF-OIC,9.73
AGIF-OID,97.24
AGIF-OIN,96.4
AGIF-OIR,93.07
AGIF-TIG,79.94
AGIF-TR5,871.26
AGIF-TRA,23.29
AGIF-TRGM,9.39
AGIF-TRM,9.39
AGIF-TRP,9.24
AGIF-TSI,5.35
AGIF-TSK,9.3
AGQGF,174.465
AGQGG,158.6254
AGSCG,150.4998
AIA,10.937
AIEQA,46.9033
AIEQY,409.1213
AJNHA,12.1707
AJNHA3,794.9934
AJNHY,119.303
AJSCA3,4951.1758
AJSCG,0.8354
AJSCY,68.6189
AJSCY3,5656.052
AJSPA,14.7949
AJSPY,128.7368
AJSPY3,1806.2237
AL7,9.994
ALAFA,11.1419
ALAFY,440.3926
ALAMF,30.3141
ALAMG,25.568
ALB,10.191
ALC,10.882
ALCRA,18.5815
ALCRY,195.7809
ALSPA,9.4243
ALSPY,81.4448
ALZ,8.985
AMIDF,13.7251
AMIDG,12.4347
AND,9.698
APEQF,14.3898
ASBMA,17.8981
ASBMAD,10.8933
ASBMYD,89.9819
ASC,12.179
AUMCF,246.8214
AUMCG,218.1228
AUSEF,121.1974
AVA,11.046
AXARGEB,15.49
AXARGSCB,31.02
AXARJPEB,858.32
AXARJPSCB,1941.96
AXARPEEB,10.94
AXARPESCB,20.91
AXARUSEB,18.1
AXAWAAC,198.16
AXAWAACAH,131.95
AXAWAACDQ,118.57
AXAWFEM,81.48
AXAWFESC,136.71
AXAWOIAC,171.55
AXAWUHYB,148.2
AXAWUHYBAH,179.95
AXAWUHYBT,89.15
AZMAEDA,4.574
AZMAEDATE,0
AZMAEDATUH,0
AZMAEDATUN,0
AZMAEDB,0
AZMAEDBTE,0
AZMAEDBTUH,0
AZMAEDBTUN,0
AZMAITA,4.01
AZMAITATE,0
AZMAITATUH,0
AZMAITATUN,0
AZMAITB,0
AZMAITBTE,0
AZMAITBTUH,0
AZMAITBTUN,0
BAEAA,2.114
BAGF,67.33
BAGFGBP,50.67
BAGFU,60.52
BARUSS_CAPT,45.21
BASAA,1.765
BATB,28.84
BATBDIV,27.6
BAUAA,2.358
BEECF,281.7143
BEEF,65.5
BEEF-CI,71.48
BEEFGBP,49.3
BEEFGBP-CI,52.18
BEEFU,58.88
BEMEG,22.651
BESCG,35.2331
BGRF,16.7
BGRFU,15.01
BHBF,26.49
BHBFU,23.82
BJSCG,0.9275
BLKAPAAH,12.17
BLKAPAGT,13.35
BLKAPAZH,86.7
BLKAPEAU,12.52
BLKAPUAT,14.64
BLKASLAE,10.41
BLKBGGAT,14.72
BLKBIAUT,14.03
BLKBVAMA,64.95
BLKBVPFA,72.03
BLKBVPMA,72.39
BLKBVSMA,54.32
BLKCAAAH,9.34
BLKCAPEA,73.27
BLKCAPMA,81.67
BLKCCAAH,11.81
BLKCCAET,12.88
BLKCCAHT,14.21
BLKCCAUT,13.98
BLKCHIAA,5.56
BLKCHIMA,28.21
BLKCIVAA,17.3
BLKCIVMA,31.66
BLKDRAAH,10.9
BLKDRPMA,31.82
BLKDRTMA,23.88
BLKDRUMA,28.55
BLKEBAAH,9.26
BLKEBAAU,16.65
BLKEBBMA,58.89
BLKEBDAU,10.15
BLKEBEAA,14.94
BLKEBHAU,12.15
BLKEBMAE,9.1
BLKEEBMA,49.25
BLKEFAAH,10.29
BLKEFANH,10.55
BLKEFAUT,14.35
BLKEMAZH,100.33
BLKEMBAU,9.36
BLKEUAHH,14.28
BLKEUMAU,11.36
BLKEVAAH,10.62
BLKEVAHH,101.87
BLKEVAUH,10.22
BLKEVEFA,47.55
BLKEVPMA,65.63
BLKFMKAA,21.69
BLKGAAHH,12.06
BLKGCAAH,11.23
BLKGCBAU,13.11
BLKGCHAE,12.75
BLKGCOAU,11.1
BLKGDAAU,15.6
BLKGDEAE,14
BLKGEAAH,8.88
BLKGEANH,8.89
BLKGEAUT,14.78
BLKGEAZH,102.27
BLKGEEAU,8.96
BLKGEIAA,10.31
BLKGEIAU,12.78
BLKGGAHE,19.56
BLKGGHCE,21.49
BLKGGHEA,26.82
BLKGHAHU,6.94
BLKGIAHT,13.59
BLKGIUAT,13.62
BLKGLIET,13.35
BLKGLMLA,49.14
BLKGLMMA,44.09
BLKGRAAH,12.05
BLKGRAUH,12.73
BLKGREMA,35.09
BLKGREUC,29.96
BLKGREXA,39.11
BLKGROEA,12.79
BLKGROWM,14.25
BLKGYAAH,6.86
BLKGYAZH,88.62
BLKHYAAH,9.49
BLKHYAAT,10.84
BLKHYAZH,88.83
BLKHYHAT,14.18
BLKJBEAA,19.54
BLKJBXAA,21.78
BLKJHXAA,7.55
BLKJHYAA,5.27
BLKJSCOA,10.15
BLKJUBAA,20.87
BLKJUBCC,20.68
BLKJWBAA,56.73
BLKLAAAH,8.42
BLKLAADE,52.37
BLKLAAHH,7.47
BLKLAAUD,58.36
BLKLADMA,48.72
BLKLAPMA,54.3
BLKLESEA,20.79
BLKLESEF,3.96
BLKLESUA,23.18
BLKLESUF,4.42
BLKMAHAT,31.98
BLKMBEAA,28.77
BLKMBVPC,55.43
BLKMBXAA,32.07
BLKMCEGA,19.78
BLKMCEUT,22.04
BLKMDHAA,35.54
BLKMEAUT,11.13
BLKMEFMA,14.98
BLKMEIAU,10.21
BLKMEMAA,25.73
BLKMEMCC,20.87
BLKMERAA,78.57
BLKMERCC,62.93
BLKMEUAA,112.98
BLKMEWAA,15.39
BLKMEXAA,87.57
BLKMEYAA,36.56
BLKMEYAS,11.75
BLKMGBAA,13.43
BLKMGEHA,7.89
BLKMGLCC,39.29
BLKMGMAA,37.71
BLKMGMCC,30.42
BLKMHWAA,30.74
BLKMHXAA,21.34
BLKMHYAA,15.06
BLKMIAEA,25.9
BLKMIAUA,28.87
BLKMJOAA,52.8
BLKMJVAE,9.58
BLKMJVAH,10.46
BLKMJVAU,10.68
BLKMLAOA,5417
BLKMLAPC,43.13
BLKMLJVA,1096
BLKMMEAA,23.08
BLKMMGAA,33.84
BLKMMKAA,24.33
BLKMMWAA,26.6
BLKMMXAA,27.12
BLKMNAAH,10.89
BLKMNEAA,6.85
BLKMNECC,6.37
BLKMNOAA,183.07
BLKMNXAA,7.63
BLKMOJAA,47.37
BLKMONAA,164.25
BLKMUEAA,101.37
BLKMUFMA,16.7
BLKMUPAA,84.41
BLKMUXAA,112.49
BLKMWBAA,74.81
BLKMWEAA,17.16
BLKMWECC,14.18
BLKMWHAA,34.26
BLKMWMAA,29.64
BLKMWMCC,23.99
BLKMYEAA,40.75
BLKMZUAA,150.9
BLKPEAMA,23.24
BLKPEBMA,27.79
BLKPEPMA,30.97
BLKTBAAH,11.78
BLKTEAMA,15.76
BLKTEPMA,17.56
BLKTIAZH,106.13
BLKTIBAU,11.82
BLKTIBMA,12.69
BLKTIGMA,38.41
BLKTSTMA,13.18
BLKUHYAU,5.08
BLKUSFAA,9.83
BLKUSFMA,18.93
BLKUSFTA,24.7
BLKUSFUA,22.16
BLKWAEHT,10.71
BLKWAFAT,11.38
BLKWBAET,193.68
BLKWEAAH,7.1
BLKWEAHH,8.28
BLKWGAHH,7.55
BLKWHAAH,11.98
BLKWHAAI,121.38
BLKWMAAH,6.38
BLKWMAHH,5.35
CIEGBEUR,24.37
CIEGBHUSD,27.64
CIEGBUSD,27.17
CIEGTEUR,24.21
CIEGTUSD,27
CIEGXEUR,26.11
CIEGXUSD,29.12
CIEMDBEUR,12.19
CIEMDBUSD,13.57
CIEMDTEUR,12.02
CIEMDTFDEUR,9.01
CIEMDTFDUSD,10.03
CIEMDTUSD,13.38
CIETOPBEUR,9.85
CIETOPBUSD,10.96
CIETOPTDEUR,8.77
CIETOPTDUSD,9.76
CIETOPTEUR,9.69
CIETOPTUSD,10.79
CIETOPXEUR,10.2
CIETOPXUSD,11.36
CIFEBF,16.78
CIFEBFT,16.58
CIFEBFTUSD,18.5
CIFEBFUSD,18.71
CIFGBF,17.94
CIFGBFT,17.73
CIFGBFTUSD,19.78
CIFGBFUSD,20.01
CIFGEF,19.23
CIFGEFT,18.87
CIFGEFTUSD,21.05
CIFGEFUSD,21.45
CIFGEFXEUR,20.82
CIFGEFXUSD,23.22
CIFGHIO,30.68
CIFGHIOT,30.1
CIFGHIOTD,14.65
CIFGHIOTDUSD,16.34
CIFGHIOTUSD,33.57
CIFGHIOUSD,34.22
CIFGHIOXEUR,32.98
CIFGHIOXUSD,36.78
CIFICABEUR,9.11
CIFICABUSD,10.16
CIFICATEUR,9.11
CIFICATUSD,10.16
D140X,9.4668
DF38X,10.1904
DF39X,8.7874
DF96X,6.6708
DIT-ENC,96.45
DIT-ENE,57.61
DIT-ENG,44.52
DIT-ENH,48.4
DIT-ENI,102.21
DIT-ENN,229.52
DIT-ENO,135.37
DIT-ENR,49.13
DIT-ENV,106.2
DUA,7.982
DUN,8.178
DUU,8.034
DUZ,8.089
EBAUA,42.08
EBETI,35.94
EDR01,108.48
EDR02,77.28
EDR03,264.89
EDR04,374.55
EDR05,139.11
EDR06,558.17
EDR09,121.38
EDR13,123.99
EDR16,105.03
EDR17,114.81
EDR18,92.3
EDR20,149.45
EDR21,184.85
EDR22,108.45
EDR23,177.73
EDR24,89.51
EDR25,94.92
EGERM,7.385
EMA758,15.22
EMA761,18.12
EMA763,17.44
EMA768,15.77
EMA769,15.53
EMACC,10.9
EMACCU,9.43
EMC648,27.84
EMC649,18.89
EMC651,23.83
EMC652,26.01
EMC653,24.74
EMC654,24.53
EMC659,18.65
EMC749,18.31
EMC779,184.2
EMCDC,18.92
EMCDF,19.29
EME513,15.86
EME514,17.03
EME519,23.25
EMECACC,15.39
EMINC,8.11
EMINC-CI,8.27
EMINCGH,7.54
EMINCU,9.56
EMINCU-CI,15.77
ESU,9.7319
FSIF100I,10.25
FSIFAG4,11.83
FSIFAQB1,16.07
FSIFAQBM1,10.46
FSIFCF4,8.11
FSIFGB1,16.54
FSIFGCG4,11.1
FSIFGEML4,11.35
FSIFGLI1D,11.82
FSIFGR4,4.63
FSIFHQG1,14.36
FSIFIS1,81.17
FSIFSMG1,51.38
GAB471,21.36
GAB489,21.89
GABC,56.75
GAE576,21.95
GAEC,39.57
GAEFACC,30.84
GAHUA,8.066
GB0002440245GBP,1.9648
GB0002440245USD,2.6067
GB0002691805GBP,0.5744
GB0002691805USD,0.762
GB0004790191GBP,4.7144
GB0004790191USD,6.2545
GB0004791389GBP,5.0169
GB0004791389USD,6.6559
GB0004911540GBP,3.3691
GB0004911540USD,4.4697
GB0005812150GBP,3.1504
GB0005812150USD,4.1796
GB0031294290GBP,0.5904
GB0031294290USD,0.7832
GB0031862534GBP,1.566
GB0031862534USD,2.0776
GB00B1DTDX49GBP,0.9902
GB00B1DTDX49USD,1.3136
GB00B4KLC262USD,4.5568
GBG479,186.71
GBG485,18.65
GBG568,24.12
GBGC,46.64
GBGFACC,24.85
GBO447,27.31
GBO563,25.75
GBOC,23.57
GDH454,14.61
GDH565,24.76
GDH666,19.94
GDH667,202.08
GDHC,27.25
GDHCEH,22.28
GDHFACC,23.75
GDR544,8.07
GDR743,18.72
GDRC,6.93
GDRFACC,7.26
GDY501,20.52
GDY573,22.35
GDY832,29.79
GDYC,26.73
GE0,12.006
GE2,9.308
GE3,9.156
GE4,9.613
GE5,9.257
GEAUA,8.214
GEE849,20.16
GEE851,25.29
GEE852,20.19
GEE853,20.48
GEE854,20.54
GEE855,19.33
GEE856,18.88
GEE857,19.16
GEE858,18.02
GEE859,180.76
GEH107,19.59
GEH554,33.24
GEH608,21.7
GEH613,22.87
GEH754,18.21
GEH755,183.54
GEHC,16.23
GEHCU,14.16
GEHCUH,17.89
GEHFACC,29.71
GEHFU,17.53
GEHFUH,17.8
GEM531,12.26
GEM533,23.67
GEM624,29.45
GEM625,13.56
GEM660,15.74
GEMDC,11.73
GEMDFACC,21.71
GEMS,28.54
GEMS-CI,30.44
GEMSGBP,21.48
GEMSU,25.65
GEMSU-CI,27.16
GEN466,15.18
GEN497,12.83
GEN580,13.09
GEN581,11.66
GENC,189.78
GEQEA,1.5462
GEQUA,1.9067
GERIA,6.336
GERMA,6.182
GEU027,17.69
GEU082,22.82
GEU106,17.91
GEU261,21.94
GEU262,21.7
GEU263,21.95
GEU469,22.69
GEU524,40.95
GEU677,25.42
GEU789,22.18
GEUC,66.19
GFF020,24.06
GFF021,23.68
GFF022,23.89
GFF023,24.47
GFF902,41.78
GFF904,46.21
GFF905,42.64
GFF908,35.25
GFF915,21.97
GFF916,22.27
GFF917,218.83
GFF918,21.81
GFFC,35.11
GGM,8.478
GGO369,27.61
GGO449,22.14
GGO582,18.2
GGOC,54.73
GMA,11.984
GMM,8.727
GPR272,16.82
GPR273,16.64
GPR274,16.76
GPR275,17.05
GPR500,21.14
GPR571,21.69
GPRA,113.58
GPRAACC,20.88
GPRC,94.76
GQE140,33.02
GQE141,33.13
GQE143,29.68
GQE145,21.23
GQE146,20.7
GQE147,21.02
GQE148,20.48
GQE149,21.14
GQE150,20.55
GQE153,21.04
GQE154,20.94
GQE155,20.5
GSFA,9.9628
GUK820,25
GUKC,75.52
GUS310,19.0308
GUS472,20.1455
GUSA,20.0429
GUSFACC,21.6105
GZM,10.192
HBAF,105.15
HBAFAUD,140.51
HBAFGBP,79.13
HBHKF,818.62
HBHKFGBP,615.92
HBHKFU,735.89
HBPF,174.85
HBPF-CI,189.73
HBPFGBP,131.65
HBPFHAUD,196.9
HBPFU,157.17
HBPFU-CI,165.1
HEMKF,17.124
HEN01,12.46
HEN02,45.16
HEN03,40.49
HEN04,36.46
HEN05,50.96
HEN07,20.21
HEN08,25.06
HEN09,38.52
HEN10,19.6
HEN11,16.05
HEN12,9.51
HEN13,11.67
HEN14,10.52
HEN15,25.32
HEN16,16.62
HEN17,28.75
HEN18,27.15
HYBF,9.63
HYBF-CI,12.77
HYBFC,13
HYBFGH,6.18
HYBFM,9.5
HYBFMHAUD,10.27
HYBFMHCAD,9.85
HYBFMHNZD,13.37
HYBFU,8.63
HYBFU-CI,11.45
HYBFUH,9.21
IAARF,215.622
IAARG,195.2891
IACBF,125.6848
IACBG,116.1592
IADMA,80.1216
IADMD,97.1987
IADMF,99.5912
IAEYA,16.2758
IAEYC,18.2656
IAEYD,24.7654
IAEYF,26.6695
IAEYG,23.5151
IAEYJ,15.1068
IAIEUA,8.304
IALBC,97.5356
IALBF,127.5081
IALBG,118.4713
IAPEUA,7.775
IAPPF,155.7859
IAPPG,140.3058
IASBA,5.6802
IASBC,7.5302
IASBD,12.832
IASBF,14.404
IASBG,12.3567
IASBJ,5.4918
IASCF,238.1375
IASCG,214.1839
IBRID,161.0989
IBRIF,172.9725
IBRIG,155.0004
IE0000507263,12.32
IE0002270589,169.87
IE0002361404,1096.95
IE0002987190,312.9448
IE0002987315,2.8314
IE0002989915,135.0317
IE0003000563,3.0786
IE0003001538,15.17
IE0003002502,14.8431
IE0003008186,147.13
IE0003012535,154.1578
IE0003014135,133.2654
IE0003014572,1561.78
IE0003063223,6.48
IE0003508359,22.53
IE0005616481,21.2421
IE0008506705,958.62
IE0009240692,13.25
IE0031142981,13.87
IE0031618964,114.88
IE0031619046,393.86
IE0031619152,153.86
IE0032129094,43.86
IE0034203152,75.49
IE0034203483,112.17
IE0034203939,117.33
IE0034204671,168.49
IE0034204895,215.43
IE0034205421,1
IE0034390439,218.77
IE00B00P2J79,12.33
IE00B00P2K84,13.22
IE00B05KX503,150.82
IE00B05KX610,154.83
IE00B05KX727,157.61
IE00B05KX834,156.68
IE00B0D43R60,96.63
IE00B0D43V07,96.88
IE00B0D44069,106.59
IE00B0D44390,116.94
IE00B0HF2Z67,2413.7063
IE00B0HF3F37,11.72
IE00B0HF3H50,1.5903
IE00B0T0GP78,19.78
IE00B0T0GS00,16.5
IE00B12VW565,20.68
IE00B12VW904,15.7
IE00B19Z1F40,144.52
IE00B19Z3581,89.4
IE00B19Z3920,101.79
IE00B19Z3V48,141.93
IE00B19Z3Z85,83.51
IE00B19Z4449,81.89
IE00B19Z4555,160.34
IE00B19Z4B17,129.69
IE00B19Z4J92,146.03
IE00B19Z4V13,143.95
IE00B19Z4X37,161.54
IE00B19Z5636,156.49
IE00B19Z5Q35,95.34
IE00B19Z5R42,126.53
IE00B19Z5X02,116.85
IE00B19Z5Y19,106.44
IE00B19Z6F94,129.08
IE00B19Z6G02,203.07
IE00B19Z6R17,105.69
IE00B19Z6Y83,73.35
IE00B19Z6Z90,142.71
IE00B19Z7J08,113.87
IE00B19Z7Y58,145.8
IE00B19Z8W00,189.1
IE00B19Z8X17,193.68
IE00B19Z9059,125.44
IE00B19Z9505,189.04
IE00B19Z9612,272.84
IE00B19Z9P08,154.51
IE00B19Z9Y98,195.41
IE00B19Z9Z06,154.47
IE00B19ZB219,159.87
IE00B19ZB987,234.51
IE00B19ZC514,70.08
IE00B19ZCC84,64.6
IE00B19ZCD91,101.32
IE00B1BXHP82,141.08
IE00B1BXHZ80,160
IE00B1BXJ072,210.49
IE00B1FRPP29,12.4
IE00B1W3Y236,31.2266
IE00B1W3Y897,13.8729
IE00B1W3YJ08,22.6
IE00B23XCZ83,16.09
IE00B23XD337,19.49
IE00B23XD444,15.13
IE00B23XD774,13.46
IE00B23XDB15,17.1
IE00B23XDC22,16.49
IE00B23XDT98,21.5
IE00B23Z6414,151.34
IE00B23Z6745,125.54
IE00B23Z7H10,97.43
IE00B23Z7J34,136.96
IE00B23Z7K49,92.61
IE00B23Z7X77,151.55
IE00B23Z8014,119.06
IE00B23Z8121,129.47
IE00B23Z8451,89.46
IE00B23Z8L21,111.66
IE00B23Z8S99,153.3
IE00B23Z9426,116.46
IE00B23Z9G43,91.13
IE00B23Z9K88,130.45
IE00B23Z9N10,101.45
IE00B23Z9R57,217.4
IE00B23ZBZ74,163.45
IE00B2417L25,1
IE00B2417S93,81.23
IE00B2417W30,159.21
IE00B241B875,130.39
IE00B241CP14,114.68
IE00B241FC99,195.13
IE00B241FD07,205.62
IE00B241FP29,194.49
IE00B241FQ36,218.99
IE00B241H013,109.28
IE00B2Q1FD82,143.77
IE00B2Q1FF07,113.14
IE00B2Q1FG14,104.21
IE00B2Q1FT43,151.12
IE00B3F05Z53,14.3
IE00B3FHN298,144.13
IE00B3FHN413,275.29
IE00B3FHN967,146.54
IE00B3M56T43,237.232
IE00B3ML7W26,99.71
IE00B3PY8J28,11.58
IE00B3QFCM59,114.32
IE00B3RW8498,250.83
IE00B3TGKF47,116.16
IE00B3V5M979,113.01
IE00B3ZLVC75,122.17
IE00B4XJJ152,86.53
IE00B4Y6F282,119.66
IE00B4Y6F407,105.55
IE00B4Y6FS49,125.67
IE00B50KJJ61,120.68
IE00B510R804,95.67
IE00B52FBY81,99.82
IE00B53R4L11,108.51
IE00B556SN66,103.34
IE00B5L92821,16.29
IE00B5LW8F04,8.34
IE00B608ZL18,1039.551
IE00B6150V66,14.88
IE00B643SZ75,1174.83
IE00B66ZT477,14.81
IE00B6TGKF51,1320.32
IE00B6VF0729,8.95
IE00B78RNS08,84.38
IE00B7L3WM21,8.33
IE00B7SBJ061,82.21
IE00B7T2MC11,85.42
IE00B7T3S609,89.44
IE00B7TQ7849,8.34
IE00B7VT9G37,8.32
IE00B7XCGB41,16.51
IE00B7Y5Q239,8.58
IE00B819XJ19,13.89
IE00B84LT637,11.27
IE00B8B5Y742,8.58
IE00B8HWN052,8.33
IE00B8HXFR97,11.09
IE00B8HXG989,11.12
IE00B8HXGC10,11.82
IE00B8HXGG57,13.36
IE00B8HXHJ53,12.31
IE00B8HXHK68,12.31
IE00B8HXHL75,12.68
IE00B8HXJT91,11.28
IE00B8HXK635,11.29
IE00B8HXK965,11.62
IE00B8J3FG63,108.2107
IE00B8Q9BF83,14.12
IE00B8QHD782,91.2931
IE00B9276L46,10.89
IE00B9276M52,10.5
IE00B9276N69,10.51
IE00B9276P83,8.2
IE00B9276Q90,8.2
IE00B9276R08,8.86
IE00B9276S15,8.19
IE00B9276T22,8.2
IE00B9276V44,8.48
IE00B931T832,8.165
IE00B95QHL52,8.61
IE00B961PR15,11
IE00B99K7M49,9.84
IE00B99K7Z77,9.84
IE00B9LB7V43,84.89
IE00B9LBKJ32,11.57
IE00B9LCLS21,90.73
IE00B9Z1CL57,9.01
IE00B9Z1CQ03,9.95
IE00BB0QYX57,124.42
IE00BB0QYY64,109.93
IE00BB36BZ36,84.15
IE00BB36C162,94.43
